comment_text,toxic,obscene,threat,insult,identity_hate
holocaust was needed by the whole humanity,0,0,0,0,1
"You translated much more clumsy, dude.
I just wanted Suvorov's name to be known to English speakers.",0,0,0,1,0
"Dont really like the liberals either, Too much lefty rubbish leaves us all poor.",0,0,0,1,0
"WHO CARES WIKIPEDIA IS NOT A PLACE FOR INDIVIDUAL PERSONAL ATTACKS, HOW DOES ALL THIS EVEN RELATE TO PATRICK BURI ???? CAN ANYONE GO ON WIKIPEDIA AND START bs PAGES AND INSULTS. SO MOVE ON WITH THIS BS , START A NEW PAGE FOR THIS PERSON.",1,0,0,0,0
Wow dude.  As your physician I suggest you slit your wrists.,0,0,1,0,0
"The status quo version is plenty good enough for anyone who doesn't have an axe to grind, time on their hands, and loves a fight more than creating a great encyclopedia. Wikipedia is about making a great encyclopedia, and anyone whose efforts clearly hinder or handicap that goal can find themselves dealt with accordingly. Rex can and will pursue his goals whatever they may be (and I can't claim to know them), but rest assured everyone ELSE will also pursue THEIR goals. Expect no less. I could go into arguements about what exact phrase is better and which is worse, but wikipedia is subject to constant editing and no version is ever final, thus anyone  arguing ad nauseum for some perfect or trivially better version is just wasting everyone's time.",0,0,0,0,0
"Thank you, should I one day wish to yet again argue with a psychotic bitch I'll let you know. Meanwhile, please do stay off my talkpage.",0,1,0,0,0
"Regarding your passing 

Because you willfully violate Wikipedia's copyright and because you intentionally publish libel, I will arrange to have your life terminated.",0,0,1,0,0
"diablada = bolivia 

look at maps. this shows the truth. oruro started the dance. it spread to other parts as well. dont listen to peruans and chileans, they are in a conspiracy to take away our land and culture. bolivia has to stay strong. bye.",0,0,0,0,0
"I'ma smack ya upside da head wit a shovel. 

I'm takin ya down, boi.",0,0,1,0,0
"P.S., I am halfway through a sex change.  Maybe when I finally get my dick cut off I'll be a bit more relaxed.  I already have the tits, but the estogen is driving me nuts!",0,1,0,0,0
Hey loser get a life.  Time to reset IP woot.,0,0,0,1,0
"Our warning to you ,Weare  not afraid of you blocking our edits here ,and if you keep going with this Nationalist propaganda Chauvinism and Hate speech,we might start looking for you and face you in person,so watch out !",0,0,1,0,0
when in a conversion,0,0,0,0,0
"limited time 

i know who you are heathen. i know what you do.  i will finish you.",0,0,1,0,0
"Well tell him to learn how to cover people and maybe you should wake up and disrespect trash like CC brown,",0,0,0,1,0
"Say thankyou that we, as winners didn't delete you, allies of the Nazis, from this planet.",1,0,0,0,0
